Device Name,Device Desription,Device EUI,Lot Number,Address,app_eui,key,,,,,,
210508030142,WX-BS-1P-S-EM,8CF957200000AB22,9182,"37 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030143,WX-BS-1P-S-EM,8CF957200000B327,9184,"33 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030144,WX-BS-1P-S-EM,8CF957200000BDC7,9194,"1B Ceberus, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030145,WX-BS-1P-S-EM,8CF957200000B713,9200,"15 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030146,WX-BS-1P-S-EM,8CF957200000BE9D,9190,"9 Ceberus, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030147,WX-BS-1P-S-EM,8CF957200000C2FF,7320,"6 Mercurius, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030148,WX-BS-1P-S-EM,8CF957200000BA48,15520,"6 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030149,WX-BS-1P-S-EM,8CF957200000BDB2,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030150,WX-BS-1P-S-EM,8CF957200000C4B3,15520,"15 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030151,WX-BS-1P-S-EM,8CF957200000BB5F,1415,"214 Victoria, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030152,WX-BS-1P-S-EM,8CF957200000A7C4,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030153,WX-BS-1P-S-EM,8CF957200000AEDC,7574,"4 Drakensville Flat, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030154,WX-BS-1P-S-EM,8CF957200000BB0F,7574,"217 Drakenberg, 2 Drakensville, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030155,WX-BS-1P-S-EM,8CF957200000B7B1,14159,"212 Victoria, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030156,WX-BS-1P-S-EM,8CF957200000BFCE,7574,"1 Drakensville Flat, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030157,WX-BS-1P-S-EM,8CF957200000C179,7574,"3 Drakensville, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030158,WX-BS-1P-S-EM,8CF957200000C6B6,7321,"4 Mercurius, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030159,WX-BS-1P-S-EM,8CF957200000B812,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030160,WX-BS-1P-S-EM,8CF957200000AF2D,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030161,WX-BS-1P-S-EM,8CF957200000B7FA,9114,"4 Lunar Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030162,WX-BS-1P-S-EM,8CF957200000AF8E,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030164,WX-BS-1P-S-EM,8CF957200000BEB5,9030,"14 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030165,WX-BS-1P-S-EM,8CF957200000C93F,9032,"18 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030166,WX-BS-1P-S-EM,8CF957200000BECE,9031,"16 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030167,WX-BS-1P-S-EM,8CF957200000B644,9112,"13 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030168,WX-BS-1P-S-EM,8CF957200000BA6A,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030169,WX-BS-1P-S-EM,8CF957200000BA3F,9113,"2 Lunar Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030170,WX-BS-1P-S-EM,8CF957200000BB13,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030171,WX-BS-1P-S-EM,8CF957200000A888,8935,"32 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030172,WX-BS-1P-S-EM,8CF957200000AF90,8985,"47 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030173,WX-BS-1P-S-EM,8CF957200000B32D,8934,"30 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030174,WX-BS-1P-S-EM,8CF957200000A7C0,8933,"28 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030175,WX-BS-1P-S-EM,8CF957200000BA28,8987,"43 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030176,WX-BS-1P-S-EM,8CF957200000B6C3,8931,"24 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030177,WX-BS-1P-S-EM,8CF957200000C2FA,8984,"42 Star Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030178,WX-BS-1P-S-EM,8CF957200000BA4F,8940,"35 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030179,WX-BS-1P-S-EM,8CF957200000AEF9,8936,"34 Capricorn Dr, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030180,WX-BS-1P-S-EM,8CF957200000A7A0,8942,"31 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030181,WX-BS-1P-S-EM,8CF957200000BEC9,8943,"29 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030182,WX-BS-1P-S-EM,8CF957200000BB65,8945,"25 Pisces Cres, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030183,WX-BS-1P-S-EM,8CF957200000C26A,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030184,WX-BS-1P-S-EM,8CF957200000BA47,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030185,WX-BS-1P-S-EM,8CF957200000AEF6,9176,"49 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030186,WX-BS-1P-S-EM,8CF957200000BE8B,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030187,WX-BS-1P-S-EM,8CF957200000B93E,9174,"53 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030188,WX-BS-1P-S-EM,8CF957200000B813,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030189,WX-BS-1P-S-EM,8CF957200000C2FE,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030190,WX-BS-1P-S-EM,8CF957200000A2C8,15520,"11 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030191,WX-BS-1P-S-EM,8CF957200000BE6D,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030192,WX-BS-1P-S-EM,8CF957200000B7A6,9175,"51 Milky Way, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030193,WX-BS-1P-S-EM,8CF957200000C66C,15520,"8 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030194,WX-BS-1P-S-EM,8CF957200000C2BB,15520,"9 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030195,WX-BS-1P-S-EM,8CF957200000C2D3,15520,"5 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030196,WX-BS-1P-S-EM,8CF957200000A8DF,9102,"33 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030197,WX-BS-1P-S-EM,8CF957200000A7A2,7491,"4 Rigel, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030198,WX-BS-1P-S-EM,8CF957200000B6C6,15520,"14 Mountain Creek Unit, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030199,WX-BS-1P-S-EM,8CF957200000AEF5,7492,"2 Rigel, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030200,WX-BS-1P-S-EM,8CF957200000B2CA,7488,"9 Uranus Street, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030201,WX-BS-1P-S-EM,8CF957200000A83B,15520,"13 Mountain Creek Flat, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030202,WX-BS-1P-S-EM,8CF957200000AC4F,9051,"26 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030203,WX-BS-1P-S-EM,8CF957200000C018,7489,"3 Rigel, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030205,WX-BS-1P-S-EM,8CF957200000B7A7,9104,"29 Gemini Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030206,WX-BS-1P-S-EM,8CF957200000B642,15520,"221-223 Drakensburg, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030207,WX-BS-1P-S-EM,8CF957200000BAF7,,,8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030208,WX-BS-1P-S-EM,8CF957200000B325,9139,"10 Libra Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030209,WX-BS-1P-S-EM,8CF957200000A869,9116,"16 Sun Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030210,WX-BS-1P-S-EM,8CF957200000C2E8,9115,"14 Sun Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030211,WX-BS-1P-S-EM,8CF957200000B7B4,9137,"6 Libra Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
210508030212,WX-BS-1P-S-EM,8CF957200000A754,9136,"4 Libra Ave, Signal Hill, Newcastle, 2940",8CF9572000000000,2B7E151628AED2A6ABF7158809CF4F3C,,,,,,
